id,x,y,color,sourceRadius,targetRadius,sourceX,sourceY,targetX,targetY
4823250,292.1137515867917,232.61972253784677,#d5ece6,2,2,292.1137515867917,232.61972253784677,864.4782857207873,505.7788978769213
4823280,288.9953782807503,814.8372106485319,#b394c9,1,1,288.9953782807503,814.8372106485319,918.1343464296767,916.7506069418009
4823310,323.4807024871269,800.2942331777647,#b394c9,1,1,323.4807024871269,800.2942331777647,792.7085727057444,916.9766996235733
4823370,352.9289759081759,827.8334488120004,#b394c9,1,1,352.9289759081759,827.8334488120004,869.2123440944405,972.3539859374929
4823400,323.14286300096444,271.56001161682406,#d5ece6,1,1,323.14286300096444,271.56001161682406,791.2187676103723,558.086218364254
4823430,289.1535328775058,829.9524789650407,#b394c9,1,1,289.1535328775058,829.9524789650407,818.8428575332097,876.479396347389
4823460,337.5652555063916,543.7433677618502,#9ccadd,1,1,337.5652555063916,543.7433677618502,856.2964643698892,901.0951637240861
4823490,326.0565205816769,655.5253309179298,#9ccadd,1,1,326.0565205816769,655.5253309179298,916.2288045371289,1017.8082915404747
4823640,193.0813486328793,959.652358697449,#b394c9,9,9,193.0813486328793,959.652358697449,775.015654702335,1006.1698154659015
4823670,416.41263408230844,198.32558847228594,#d5ece6,1,1,416.41263408230844,198.32558847228594,965.5637045969422,596.7546698349843
4823700,343.2159091966166,204.63589223987725,#d5ece6,1,1,343.2159091966166,204.63589223987725,934.6096717868764,747.1044979579752
4823730,258.16190092090693,917.682740874312,#b394c9,1,1,258.16190092090693,917.682740874312,882.3210263527427,1019.2849372133235
4823760,296.7763058228099,553.0946621493192,#9ccadd,1,1,296.7763058228099,553.0946621493192,861.6334740917712,646.1360874596284
4823790,245.43112074929917,578.5141455339117,#9ccadd,1,2,245.43112074929917,578.5141455339117,835.8505734737307,925.7755486196327
4823820,328.97834896172486,290.5439770037328,#d5ece6,1,2,328.97834896172486,290.5439770037328,851.2829854135522,777.5350322134382
4823850,308.73591315334215,611.2937235438634,#9ccadd,1,1,308.73591315334215,611.2937235438634,1028.9245866756235,856.7553177178925
