id,diverse_1994,diverse_2016,total_1994,total_2016
0611110,1,0,18635,25945
0611130,1,-1,189,229
0611220,0,1,1721,1976
0611280,1,1,3263,3167
0611430,0,1,159,188
0611460,1,0,17864,21991
0611490,0,1,3089,6712
0611520,1,1,4577,3381
0611550,1,-1,252,168
0611610,-1,0,102,8
0611670,0,1,352,90
0611700,0,1,169,65
0611730,-1,1,1261,986
0611760,0,-1,1824,1931
0611780,0,1,217,315
0611820,1,1,21931,22180
0611850,1,0,8136,8768
0611870,0,1,644,402
0611910,1,1,2144,3394
0611940,1,0,767,1059
0612030,0,-1,6518,4889
0612070,-1,1,5524,6419
0612090,0,0,11266,8422
0612120,0,0,9703,8594
0612150,1,0,151,164
0612180,-1,-1,10817,8518
0612210,0,1,2359,3431
0612330,1,1,33877,61172
0612360,0,0,73,185
0612420,1,1,28,15
0612600,0,1,458,238
0612630,1,1,665,685
0612690,1,1,3889,3015
0612750,0,1,4844,5308
0612810,0,1,3770,3672
0612840,1,1,2936,2569
0612880,1,0,16523,16250
0612910,1,1,7093,7263
0612930,1,0,917,953
0612960,1,1,4658,13982
0613080,0,1,2672,3379
0613140,1,1,10716,11793
0613170,-1,0,791,1088
0613290,1,0,1247,2699
0613360,1,1,20871,20457
0613470,0,1,1813,1167
0613500,1,1,5885,4375
0613530,1,1,2442,2050
0613710,1,1,38,13
0613740,0,0,159,146
0613800,1,-1,3419,3674
0613840,0,-1,1964,2278
0613860,0,0,33,21
0613890,1,1,12975,19673
0613920,1,0,30174,37317
0613980,-1,0,817,398
0614010,-1,1,729,76
0614040,1,0,33,10
0614070,0,1,2535,1716
0614130,-1,1,90,24
0614190,0,1,1083,866
0614220,1,1,5897,6384
0614250,1,0,2103,2528
0614340,0,1,356,478
0614370,1,1,10436,7555
0614400,1,1,29138,34568
0614430,1,1,7741,10828
0614490,0,1,61,31
0614520,-1,1,290,292
0614550,1,1,77023,69261
0614700,0,1,1932,3211
0614730,1,1,11142,13358
0614760,1,1,12527,13099
0614790,1,1,2925,3610
0614820,1,1,1511,2171
0614880,1,1,42423,43755
0614910,-1,0,51,69
0614940,1,1,7229,4796
0614950,0,1,4401,2092
0614970,1,1,55,30
0615000,1,0,142,146
0615090,1,1,521,426
0615150,1,1,429,249
0615180,1,1,8548,11264
0615240,1,1,29064,25570
